1.79407	-0.29792
1.58927	-0.74236
1.93030	-1.47636
1.84194	-2.13506
1.66442	-1.85177
1.14284	-1.27781
1.12241	-1.16170
0.83027	-0.74395
0.70935	-1.36632
1.34086	-1.23513
1.00815	-0.94677
1.57108	-1.53729
0.73651	-1.51780
1.24929	-1.50542
1.70828	-1.55236
1.22951	-1.61586
1.22939	-1.39311
1.51707	-1.54412
1.64323	-1.55671
1.89726	-1.58128
2.15631	-1.41587
1.64455	-1.40515
1.21675	-1.72701
2.00987	-1.72501
2.03680	-1.46913
1.81597	-1.70140
2.03745	-1.44704
1.78131	-1.42560
1.37176	-1.59718
1.81400	-1.64655
1.89644	-1.69869
1.95254	-1.35157
1.49266	-1.45549
1.49946	-1.65182
1.34761	-1.41542
1.55186	-1.48644
1.63113	-1.59131
1.76352	-1.15648
1.77621	-1.35574
1.57352	-1.58322
1.83035	-1.57002
2.01162	-1.52339
1.93430	-1.79162
2.32568	-1.75651
2.02260	-1.59806
2.13129	-1.70982
1.83028	-1.40637
2.09179	-1.37726
1.94072	-1.40272
1.55831	-1.22214
2.16556	-1.02007
1.90555	-1.31721
1.94776	-0.90227
1.76903	-1.62395
1.53682	-0.92036
1.79588	-0.87361
1.66815	-1.62806
1.62373	-1.41609
2.04722	-1.44800
1.76371	-1.48093
1.50086	-0.71343
1.66311	-1.09199
1.79532	-1.14383
1.54832	-1.25162
1.71112	-1.07218
1.65189	-1.24663
1.84238	-1.41371
2.17988	-0.71830
1.62724	-1.09295
1.79974	-0.53240
1.76587	-1.05191
1.35753	-1.05398
1.24419	-0.91804
1.80900	-0.90344
1.71759	-0.84239
1.71558	-0.81365
1.41353	-1.26145
1.42702	-1.60206
1.87994	-1.22341
1.53086	-1.03017
1.26684	-0.79694
1.65476	-1.15179
1.48580	-0.71432
1.11632	-1.12719
1.64622	-1.07252
1.65151	-1.60003
1.85949	-1.76562
1.43211	-1.41724
1.58790	-1.85926
1.94037	-1.61528
1.89721	-1.46848
1.74271	-1.81598
1.88181	-1.52613
2.07370	-1.58936
1.73950	-1.86509
1.48893	-2.00865
1.95744	-1.40482
1.95139	-1.34527
2.13871	-2.03379
2.14282	-2.04532
2.23494	-1.73536
2.07003	-1.49170
2.27632	-1.67402
2.29997	-1.54581
2.02914	-1.84536
1.88875	-1.62335
2.00725	-1.68602
2.08996	-1.69038
1.42741	-1.81659
1.74164	-1.77977
1.59244	-1.87564
2.08937	-1.82963
1.75075	-1.48467
1.81144	-1.62493
2.23499	-1.21328
1.37142	-1.30509
1.57024	-1.37408
1.68495	-1.19007
1.93200	-1.38479
1.78225	-1.51311
1.98576	-1.65893
1.89975	-1.40646
1.68945	-1.33239
1.91247	-1.00322
1.31878	-1.25107
1.09858	-1.28091
1.58579	-1.39986
1.39608	-1.12260
1.23972	-1.39006
1.09678	-1.30060
1.11680	-1.08455
0.83814	-1.48816
